,thread1,thread2,thread3,thread4,thread5,thread6,thread7,thread8,thread9,thread10,thread11,thread12,thread13,thread14,thread15,thread16,thread17,thread18,thread19,thread20,thread21,thread22
30,1513.079,1426.953,2101.827,11023.602,10587.904,11058.182,11236.428,11433.666,11720.259,71277.65,5858.962,5666.065,61718.865,250799.427,250612.598,251093.597,250358.619,249904.099,249551.686,249331.985,248710.462,249069.563
31,1546.096,1448.964,2106.838,11035.614,10596.915,11066.194,11243.44,11437.677,11731.27,71284.658,5860.973,61935.729,61721.872,250805.434,250618.604,251098.606,250365.631,249906.125,249563.693,249333.996,248715.471,249070.579
32,1567.113,1456.974,10490.692,11634.726,11189.02,11395.2,11571.442,11896.041,12081.323,71291.666,5869.984,61944.734,250740.75,250807.441,250626.617,251106.617,250368.642,249911.134,249572.71,249851.865,249201.446,249073.595
33,1597.123,1498.987,10498.699,11641.733,11191.03,11396.207,11573.453,11902.047,12093.33,71492.358,62145.651,61949.742,250749.76,250818.45,250631.628,251111.627,250372.651,249913.144,249574.802,249860.876,249206.457,249074.612
34,2152.007,2293.622,10709.566,11958.737,11520.039,11714.21,12027.821,12263.104,14190.705,71504.366,62146.66,62821.703,250755.768,250819.461,250640.639,251116.641,250373.66,249916.154,250071.694,249868.886,249218.469,249078.619
35,2161.024,2294.636,10720.578,11967.749,11521.052,11720.217,12032.831,12265.111,14200.713,71509.377,62155.668,62833.711,250765.78,250822.472,251097.586,251121.66,250381.67,249922.163,250077.7,249877.898,249223.48,249080.635
36,2203.036,2421.386,10951.513,12287.75,11842.051,12178.583,12398.881,14361.483,14210.723,71727.931,63068.681,62836.723,250777.787,250825.479,251102.602,251122.734,250851.625,250437.034,250081.705,249882.909,249233.487,249091.643
37,2215.046,2431.399,10959.526,12289.761,11845.063,12187.599,12404.892,14368.49,70477.404,71728.94,63078.689,63041.409,250778.794,250837.49,251109.612,251128.742,250855.636,250442.045,250084.712,249887.92,249243.499,249094.659
38,2225.058,2579.17,11222.45,12739.105,12299.423,12551.647,14491.254,14377.498,70489.412,71732.951,63080.699,63047.414,250782.803,250839.5,251112.618,251136.757,250859.647,250443.051,250092.718,249896.936,249255.506,249103.675
39,2227.079,2583.181,11229.474,12749.122,12303.433,12553.657,14496.267,70646.175,70498.422,71964.321,63276.383,63050.425,250784.811,251299.462,251118.629,251141.768,250864.659,250448.069,250103.729,249907.952,249266.516,249114.692
40,2236.086,2737.955,11491.395,13126.192,12678.486,14633.015,14508.274,70654.183,71488.537,71965.329,63287.394,63282.986,250788.82,251304.47,251122.64,271993.549,250875.67,250458.076,250110.739,249910.962,249269.525,269503.706
41,2257.096,2748.965,11494.402,13128.201,12686.496,14635.026,14951.89,70665.195,71495.548,71972.335,63295.405,63285.991,250795.829,251314.477,251129.646,272001.557,250878.681,250467.085,250111.75,249914.976,249276.536,269505.716
42,2258.103,2922.769,11613.762,15188.544,14746.85,14644.032,70764.943,71692.525,71496.557,72208.688,63525.96,63296.001,272050.663,251322.488,251138.654,272009.564,250881.692,250476.094,250117.761,270170.824,269506.282,269514.728
43,2286.111,2932.8,11617.768,15199.55,14754.856,15102.65,70776.954,71695.62,71709.245,72215.694,63528.974,63512.346,272053.671,251334.5,251142.666,272011.573,250892.704,250488.105,250118.772,270173.834,269507.29,269526.738
44,2331.122,11314.654,11914.73,15201.559,14763.863,15109.659,70788.963,71699.626,71715.429,72227.705,63538.981,63521.354,272061.677,251344.506,251154.676,272012.583,250904.711,250489.116,270360.632,270176.845,269511.295,269533.748
45,2344.133,11321.665,11919.737,15644.17,15207.475,15110.666,71849.525,71922.246,71717.435,75140.084,63768.317,63531.36,272065.684,251352.515,271961.527,272022.592,250915.723,250491.127,270369.644,270180.857,269523.324,269536.758
46,3050.112,11537.525,12519.847,15654.18,15219.486,70906.689,71855.54,71932.256,71930.822,75143.092,63775.33,63765.746,272076.694,251357.526,271971.535,272033.599,271017.293,270756.979,270380.655,270191.868,269531.429,269548.765
47,3091.119,11541.538,12528.858,15658.188,15227.498,70910.699,71862.552,71933.277,71940.833,75149.102,63776.371,63769.752,272081.705,251364.535,271981.543,272039.608,271023.307,270759.99,270390.663,270194.887,269537.437,269554.772
48,3097.129,11781.475,12846.861,71476.11,71032.519,70922.707,72092.087,72152.656,71949.844,75400.583,64001.718,63774.76,272083.714,251368.541,271993.552,272040.616,271027.315,270761.997,270402.671,270202.899,269545.449,269564.784
49,3104.14,11789.489,12850.868,71481.121,71033.528,72033.345,72094.102,72160.666,72171.202,75409.592,64008.728,66682.068,272088.723,272171.389,272004.564,272043.627,271032.323,270765.004,270408.682,270203.908,269555.456,269575.792
50,3118.151,12042.414,13164.874,71490.228,71038.539,72036.352,72103.11,72167.678,72179.21,75419.602,64019.737,66689.078,272095.735,272178.4,272012.575,272605.531,271036.335,270772.012,270419.692,270206.915,269556.466,270128.677
51,3156.162,12053.426,13173.881,72659.988,72189.233,72045.362,72321.488,72386.028,72188.217,75650.001,66932.103,66696.147,272106.742,272182.407,272013.586,272612.543,271047.345,270775.02,270428.699,270210.921,269560.472,270129.686
52,3175.169,12316.359,13619.216,72668.995,72196.244,72274.905,72331.499,72387.038,72426.574,75659.01,66935.12,66935.637,272773.86,272188.419,272014.598,272624.558,271056.354,270787.027,270434.705,270797.821,270168.401,270139.697
53,3191.179,12322.37,13627.224,72671.004,72200.256,72284.916,72332.51,72399.048,72437.584,75660.019,66947.134,66945.645,272785.872,272190.43,272026.609,272634.569,271065.361,270791.035,270437.716,270805.831,270172.414,270151.708
54,3214.186,12437.725,14016.316,72914.552,72440.799,72293.927,72551.858,72649.404,72447.593,75903.36,67189.612,66956.651,272794.878,272196.441,272032.617,272644.587,271068.368,270802.076,271015.656,270815.842,270174.426,270152.719
55,3413.88,12448.736,14022.328,72917.568,72442.81,72494.307,72563.863,72650.416,75352.973,75909.479,67199.622,67202.046,272798.89,272208.449,272613.508,272646.599,271080.38,270812.084,271027.665,270822.85,270180.438,270162.729
